1q_gates,E_route_abstract,E_translate,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,active_physical_qubit_count,active_physical_qubits,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routed_1q_gates,routed_abstract_2q_gates,routed_gate_count,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,translated_1q_gates,two_qubit_depth,unique_2q_edge_count,unique_physical_edges_used
53,1.857143,1.0,0.06634,0.991217,0.006341,4.948571,4.974414,0.0805,13,5,"[47, 57, 66, 67, 68]",,,CrossEnt_5,"{'Hellinger_fidelity_std': 0.000977, 'TVD_std': 0.00476, 'JSD_std': 0.000706}",0.008225,SABRE_O3,36,43,13,66,"{'value': 0, 'status': 'VALID'}",10,7,8,17,4.546245,,24,53,13,66,6,,,COMPILED_UNVERIFIED,1.857143,53,11,4,4
93,2.363636,1.0,0.067665,0.990864,0.006591,6.947446,6.97358,0.077875,26,7,"[97, 107, 108, 109, 118, 128, 129]",,,CrossEnt_7,"{'Hellinger_fidelity_std': 0.001065, 'TVD_std': 0.00423, 'JSD_std': 0.000768}",0.007956,SABRE_O3,46,44,26,119,"{'value': 0, 'status': 'VALID'}",14,11,10,25,6.299028,,32,93,26,119,15,,,COMPILED_UNVERIFIED,2.363636,93,15,6,6
117,3.1,1.0,0.31551,0.810817,0.136987,6.252478,6.628173,0.350884,31,7,"[47, 48, 57, 65, 66, 67, 68]",,,QAOA_7_MAXCUT,"{'Hellinger_fidelity_std': 0.003762, 'TVD_std': 0.004575, 'JSD_std': 0.002763}",0.008696,SABRE_O3,73,45,31,148,"{'value': 0.6554, 'status': 'VALID'}",14,10,9,24,4.733124,,50,117,31,148,21,,,COMPILED_UNVERIFIED,3.1,117,22,6,6
601,10.2,1.0,0.28526,0.843875,0.111393,9.340663,9.676543,0.308313,153,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",,,QAOA_10_MAXCUT,"{'Hellinger_fidelity_std': 0.003977, 'TVD_std': 0.004355, 'JSD_std': 0.00281}",0.054738,PROMETHEUS,353,46,153,754,"{'value': 0.6456, 'status': 'VALID'}",20,15,9,35,6.828281,,259,601,153,754,138,,,COMPILED_UNVERIFIED,10.2,601,103,9,9
7,1.333333,1.5,0.094122,0.98236,0.012756,2.903051,2.949392,0.1284,4,3,"[126, 127, 128]",,,CrossEnt_3,"{'Hellinger_fidelity_std': 0.001319, 'TVD_std': 0.004839, 'JSD_std': 0.000956}",0.556512,TKET,43,47,6,11,"{'value': 0, 'status': 'VALID'}",6,3,6,9,2.548776,,4,7,4,11,1,,,COMPILED_UNVERIFIED,2.0,59,6,2,2
18,1.0,1.0,0.198426,0.922805,0.039803,1.224903,1.537152,0.0768,3,4,"[87, 97, 106, 107]",0.9232,0.005219,GHZ_4,"{'Hellinger_fidelity_std': 0.002613, 'TVD_std': 0.002607, 'JSD_std': 0.001387}",0.008842,SABRE_O3,13,48,3,21,"{'value': 0, 'status': 'VALID'}",1,3,5,4,1.056791,,9,18,3,21,0,,,COMPILED_UNVERIFIED,1.0,18,3,3,3
12,1.428571,1.6,0.133708,0.964564,0.025677,4.816538,4.899435,0.1778,10,5,"[125, 126, 127, 128, 129]",,,CrossEnt_5,"{'Hellinger_fidelity_std': 0.00187, 'TVD_std': 0.004702, 'JSD_std': 0.00136}",0.67404,TKET,64,49,16,22,"{'value': 0, 'status': 'VALID'}",10,7,8,17,4.408129,,4,12,10,22,3,,,COMPILED_UNVERIFIED,2.285714,120,14,4,4
35,1.0,1.0,0.183781,0.93359,0.034074,1.195362,1.559578,0.0662,5,6,"[0, 1, 2, 3, 4, 5]",0.9338,0.004873,GHZ_6,"{'Hellinger_fidelity_std': 0.002539, 'TVD_std': 0.002534, 'JSD_std': 0.001336}",1.74037,PROMETHEUS,26,50,5,40,"{'value': 0, 'status': 'VALID'}",1,5,7,6,1.056191,,20,35,5,40,0,,,COMPILED_UNVERIFIED,1.0,35,5,5,5
1,1.0,1.0,0.238267,0.88968,0.057598,1.328452,1.823399,0.1098,5,6,"[117, 125, 126, 127, 128, 129]",0.8902,0.006128,GHZ_6,"{'Hellinger_fidelity_std': 0.002915, 'TVD_std': 0.002896, 'JSD_std': 0.001591}",0.489876,TKET,26,51,5,6,"{'value': 0, 'status': 'VALID'}",1,5,7,6,1.099742,,1,1,5,6,0,,,COMPILED_UNVERIFIED,1.0,35,5,5,5
21,1.692308,1.272727,0.079574,0.987376,0.009104,7.929921,7.963899,0.088287,22,8,"[105, 117, 118, 125, 126, 127, 128, 129]",,,CrossEnt_8,"{'Hellinger_fidelity_std': 0.001284, 'TVD_std': 0.003996, 'JSD_std': 0.000924}",0.810648,TKET,87,52,28,43,"{'value': 0, 'status': 'VALID'}",16,13,11,29,7.265345,,6,21,22,43,9,,,COMPILED_UNVERIFIED,2.153846,237,15,7,7
258,3.6,1.0,0.139358,0.961536,0.027759,8.785344,8.888689,0.158231,54,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",,,CrossEnt_9,"{'Hellinger_fidelity_std': 0.002205, 'TVD_std': 0.004293, 'JSD_std': 0.00158}",0.053088,PROMETHEUS,138,53,54,312,"{'value': 0, 'status': 'VALID'}",18,15,12,33,7.76415,,91,258,54,312,39,,,COMPILED_UNVERIFIED,3.6,258,48,8,8
666,6.666667,1.0,0.08118,0.986863,0.009485,5.926062,5.962179,0.0957,120,6,"[0, 1, 2, 3, 4, 5]",,,QFT_6_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001156, 'TVD_std': 0.004481, 'JSD_std': 0.000835}",1.196015,PROMETHEUS,452,54,120,786,"{'value': 0.478, 'status': 'VALID'}",9,18,14,27,5.411195,,349,666,120,786,102,,,COMPILED_UNVERIFIED,6.666667,666,111,5,5
